Field1,经度,纬度,行政区
黄兴路,121.5284,31.2788,杨浦区
五角场,121.5147,31.298,杨浦区
江湾体育场,121.5133,31.3042,杨浦区
隆昌路,121.5447,31.2752,杨浦区
嫩江路,121.532,31.3148,杨浦区
外高桥保税区北,121.587,31.3477,浦东新区
马陆,121.2768,31.3196,嘉定区
嘉定新城,121.2543,31.33,嘉定区
桃浦新村,121.3496,31.2816,普陀区
上海大学,121.3889,31.3205,宝山区
行知路,121.4215,31.285,宝山区
彭浦新村,121.4486,31.3066,静安区
上海马戏城,121.4519,31.2798,静安区
上海外国语大学,121.4811,31.2749,虹口区
广灵二路,121.4764,31.2832,虹口区
车站北路,121.4764,31.3,虹口区
共康路,121.447,31.319,静安区
剑川路,121.4166,31.0265,闵行区
莘建东路,121.3791,31.1096,闵行区
七宝,121.3491,31.1554,闵行区
龙柏新村,121.3705,31.1769,闵行区
漕宝路,121.4332,31.1683,徐汇区
上海体育场,121.4435,31.1857,徐汇区
宜山路,121.4272,31.1868,徐汇区
静安寺,121.4461,31.223,静安区
中山公园,121.4158,31.218,长宁区
金沙江路,121.4132,31.232,普陀区
汉中路,121.4587,31.2418,静安区
南京东路,121.4845,31.2381,黄浦区
天潼路,121.4824,31.2438,虹口区
娄山关路,121.4041,31.2112,长宁区
汇金路,121.1517,31.1612,青浦区
周浦,121.5676,31.1141,浦东新区
金科路,121.602,31.2043,浦东新区
塘桥,121.5186,31.2098,浦东新区
世纪大道,121.5272,31.2287,浦东新区
商城路,121.5163,31.2302,浦东新区
鞍山新村,121.5097,31.2733,杨浦区
安亭,121.1619,31.2885,嘉定区
通南路,121.4789,31.3381,宝山区
刘行,121.3623,31.3576,宝山区
龙华中路,121.457,31.1839,徐汇区
徐家汇,121.4369,31.1953,徐汇区
打浦桥,121.4686,31.2063,黄浦区
陕西南路,121.4588,31.2152,徐汇区
一大会址·黄陂南路,121.4729,31.2239,黄浦区
唐镇,121.6563,31.2141,浦东新区
江杨新村,121.4655,31.341,宝山区
泰和路,121.4677,31.3631,宝山区
杨行东,121.4577,31.3827,宝山区
盘古路,121.4499,31.3966,宝山区
宝山火车站,121.4462,31.4043,宝山区
华丰路,121.5068,31.1924,浦东新区
凉城路,121.4692,31.2799,虹口区
虹桥,121.3244,31.194,闵行区
潍坊路,121.518,31.2232,浦东新区
