Field1,经度,纬度,行政区
北新泾,121.3692691,31.21825842,长宁区
红宝石路,121.3938516,31.20075049,长宁区
长风公园,121.3916499,31.22713834,普陀区
真北路,121.3773584,31.23394313,普陀区
枫桥路,121.4068499,31.24373176,普陀区
上海西站,121.3962458,31.26462073,普陀区
祁连山南路,121.3626767,31.23955659,普陀区
虹桥2号航站楼,121.3216644,31.19624808,闵行区
虹桥火车站,121.3144807,31.19586196,闵行区
淀山湖大道,121.0776009,31.13629356,青浦区
川沙,121.6938655,31.18878355,浦东新区
浦东国际机场,121.8021124,31.15160877,浦东新区
杨思,121.4888505,31.16303286,浦东新区
下南路,121.5360092,31.18155589,浦东新区
锦绣路,121.535808,31.18965136,浦东新区
成山路,121.4918605,31.17253695,浦东新区
中华艺术宫,121.4892499,31.18732167,浦东新区
御桥,121.5666807,31.16032221,浦东新区
台儿庄路,121.5932968,31.25499243,浦东新区
金桥路,121.5776868,31.25928503,浦东新区
五莲路,121.5835907,31.27418199,浦东新区
南浦大桥,121.4952695,31.21062824,黄浦区
小南门,121.4939641,31.21892037,黄浦区
蓝村路,121.5233675,31.21380804,浦东新区
花木路,121.5584617,31.21348435,浦东新区
德平路,121.5599618,31.2475708,浦东新区
宁国路,121.5279775,31.27059446,杨浦区
陆家嘴,121.4976757,31.24022159,浦东新区
提篮桥,121.502291,31.25562849,虹口区
浦东南路,121.508113,31.24065242,浦东新区
杨树浦路,121.5127281,31.25395987,虹口区
平凉路,121.5223602,31.26118366,杨浦区
周家嘴路,121.4955663,31.26180567,虹口区
临平路,121.4962687,31.26280734,虹口区
邮电新村,121.489845,31.2702849,虹口区
曲阳路,121.4866328,31.27857185,虹口区
同济大学,121.5018871,31.28411515,杨浦区
江浦路,121.5139303,31.27705337,杨浦区
黄兴路,121.5240641,31.28087987,杨浦区
五角场,121.5103158,31.30003359,杨浦区
江湾体育场,121.5089103,31.30622706,杨浦区
隆昌路,121.5404137,31.27732152,杨浦区
嫩江路,121.5276727,31.31687509,杨浦区
外高桥保税区北,121.5827838,31.34985271,浦东新区
马陆,121.272348,31.32157155,嘉定区
嘉定新城,121.2498648,31.33198106,嘉定区
桃浦新村,121.3450052,31.28346492,普陀区
上海大学,121.3842451,31.32230142,宝山区
行知路,121.4168538,31.28681952,宝山区
彭浦新村,121.4439987,31.30844995,静安区
上海马戏城,121.4473091,31.28166742,静安区
上海外国语大学,121.4765979,31.27684332,虹口区
广灵二路,121.4718813,31.28512662,虹口区
车站北路,121.4718798,31.30191987,虹口区
共康路,121.4423939,31.32084212,静安区
剑川路,121.4119719,31.02844862,闵行区
莘建东路,121.3744721,31.11150811,闵行区
七宝,121.3445172,31.15732521,闵行区
龙柏新村,121.3658772,31.17878181,闵行区
漕宝路,121.4285796,31.17018672,徐汇区
上海体育场,121.4388977,31.18759422,徐汇区
宜山路,121.4225691,31.18866991,徐汇区
静安寺,121.4415001,31.22488093,静安区
中山公园,121.4111546,31.21984497,长宁区
金沙江路,121.4085517,31.23383703,普陀区
汉中路,121.4541304,31.24369896,静安区
南京东路,121.4800128,31.24006923,黄浦区
天潼路,121.477905,31.24576057,虹口区
娄山关路,121.3994503,31.21304427,长宁区
汇金路,121.147142,31.1631265,青浦区
周浦,121.5633789,31.11634158,浦东新区
金科路,121.5978013,31.2065145,浦东新区
塘桥,121.5142369,31.21188362,浦东新区
世纪大道,121.5228644,31.23079868,浦东新区
商城路,121.5119271,31.23226737,浦东新区
鞍山新村,121.5053001,31.27532895,杨浦区
安亭,121.1573508,31.29038558,嘉定区
通南路,121.474385,31.3400127,宝山区
刘行,121.3576745,31.35941631,宝山区
龙华中路,121.4524307,31.18582268,徐汇区
徐家汇,121.4322837,31.1971785,徐汇区
打浦桥,121.4640627,31.20824005,黄浦区
陕西南路,121.454233,31.21711153,徐汇区
黄陂南路,121.4683749,31.22584311,黄浦区
唐镇,121.6520413,31.21624755,浦东新区
江杨新村,121.4609416,31.34287569,宝山区
泰和路,121.4631464,31.36497391,宝山区
杨行东,121.4531154,31.38454337,宝山区
盘古路,121.445294,31.39842243,宝山区
宝山火车站,121.4415846,31.40611303,宝山区
华丰路,121.5023965,31.19445746,浦东新区
凉城路,121.4646583,31.28180852,虹口区
虹桥,121.3198685,31.19595167,闵行区
潍坊路,121.5136337,31.22527554,浦东新区
东方明珠,121.4953353,31.24178797,浦东新区
外滩,121.4861376,31.23975787,浦东新区
中心大厦,121.4976757,31.24022159,浦东新区
环球金融中心,121.4976757,31.24022159,浦东新区
